t, value
532, 9482
533, 9612
534, 9369
535, 9510
536, 9484
537, 9766
538, 9865
539, 11567
540, 13192
541, 13184
542, 13031
543, 13520
544, 13062
545, 13262
546, 12527
547, 11085
548, 11404
549, 11423
550, 11493
551, 11332
552, 10366
553, 9897
554, 9782
555, 9675
556, 9883
557, 9799
558, 9705
559, 9830
560, 9990
561, 11414
562, 11422
563, 11646
564, 11872
565, 11760
566, 11546
567, 11467
568, 11666
569, 11613
570, 11432
571, 11956
572, 11301
573, 11515
574, 11300
575, 11366
576, 12116
577, 11065
578, 9501
579, 9747
580, 9461
581, 9456
582, 9325
583, 9789
584, 9457
585, 10851
586, 11525
587, 11614
588, 11843
589, 11602
590, 12530
591, 13377
592, 13021
593, 13303
594, 13203
595, 13176
596, 13180
597, 13372
598, 13741
599, 13357
600, 13305
601, 13042
602, 13078
603, 13654
604, 13540
605, 12961
606, 13237
607, 13301
608, 13084
609, 13047
610, 13234
611, 13215
612, 13227
613, 13159
614, 13065
615, 13419
616, 13039
617, 13236
618, 12805
619, 13315
620, 13216
621, 13002
622, 13081
623, 13149
624, 13294
625, 13220
626, 11831
627, 11263
628, 11528
629, 11692
630, 11439
631, 11324
632, 11178
633, 11449
634, 11695
635, 11628
636, 11405
637, 11507
638, 9673
639, 9721
640, 9400
641, 9831
642, 9623
643, 9655
644, 9566
645, 9807
646, 9813
647, 9798
648, 9731
649, 9733
650, 9987
651, 9752
652, 9658
653, 10033
654, 9963
655, 9950
656, 9844
657, 9762
658, 9792
659, 9763
660, 9953
661, 9616
662, 9715
663, 9636
664, 9844
665, 9759
666, 9906
667, 9671
668, 9671
669, 8627
670, 7898
671, 7942
672, 8030
673, 7946
674, 7903
675, 7999
676, 8106
677, 8107
678, 7965
679, 8583
680, 9871
681, 9849
682, 9671
683, 9730
684, 9817
685, 9666
686, 9582
687, 9503
688, 9714
689, 10425
690, 11284
691, 11301
692, 11310
693, 11467
694, 11126
695, 11745
696, 11356
697, 11693
698, 11337
699, 11325
700, 11239
701, 11407
702, 11480
703, 11595
704, 11438
705, 11591
706, 11477
707, 11561
708, 11197
709, 9778
710, 10492
711, 11545
712, 11729
713, 11580
714, 11429
715, 11574
716, 11386
717, 11524
718, 11513
719, 11489
720, 11283
721, 11344
722, 11204
723, 11215
724, 11299
725, 11042
726, 11145
727, 11312
728, 11053
729, 11270
730, 11260
731, 11446
732, 12921
733, 13394
734, 13474
735, 11560
736, 10823
737, 11027
738, 11049
739, 11057
740, 11119
741, 11000
742, 11116
743, 11089
744, 11026
745, 11044
746, 11250
747, 11121
748, 11195
749, 10433
750, 9387
751, 9335
752, 9233
753, 9335
754, 9538
755, 9340
756, 9300
757, 9408
758, 9550
759, 9487
760, 9608
761, 9533
762, 9509
763, 9430
764, 9473
765, 9309
766, 8717
767, 7579
768, 9075
769, 10912
770, 11168
771, 11458
772, 11320
773, 11531
774, 11224
775, 10753
776, 11081
777, 10900
778, 11039
779, 11788
780, 11065
781, 11414
782, 10954
783, 11265
784, 11384
785, 11193
786, 11537
787, 11093
788, 11382
789, 11349
790, 11220
791, 11296
792, 11266
793, 11302
794, 13079
795, 13477
796, 13185
797, 13276
798, 12939
799, 12993
800, 13069
801, 13091
802, 13264
803, 13191
804, 13071
805, 12787
806, 13238
807, 11892
808, 12148
809, 12034
810, 11801
811, 11865
812, 11930
813, 11595
814, 11760
815, 11850
816, 11836
817, 11760
818, 11859
819, 11948
820, 11835
821, 11635
822, 11944
823, 11948
824, 12171
825, 11959
826, 11742
827, 10372
828, 10321
829, 10407
830, 10250
831, 10353
832, 10241
833, 10479
834, 10443
835, 10356
836, 10045
837, 10137
838, 10463
839, 10394
840, 11864
841, 12392
